Upregulated,Downregulated
HIST1H3A,AREG
FIGN,LRRFIP1
JUN,PDE4B
RNU4ATAC,GNG11
HIST1H2BG,RASGEF1B
FAM27A,CCDC144A
IER2,LDLR
UCHL1,FAM106C
RGS18,ARRDC4
EIF5,ARRDC3
CD9,RHOH
ZFP36,FLJ13197
MIR21,TAGAP
C10orf10,MYADM
RNU4-1,RNF125
RNU2-1,FLT3
HIST1H2BJ,AIM1
SAT1,RLIM
ID1,PIK3R1
HIST1H3H,FAM102B
ITGA2B,ROBO1
RNU12,OR2A1
HIST1H4I,
HIST3H2BB,
ZNF165,
CLK1,
GPR21,
PTGS1,
C6orf25,
HOXB6,
NFKBIA,
DRAP1,
HLA-DRB3,
TMEM140,
FHL3,
CYB5R1,
HLA-DRB1,
GADD45B,
STXBP5,
PDZK1IP1,
TSPYL1,
CLDN7,
SPTBN5,
CALCOCO1,
SLC16A9,
NHSL2,
CMAH,
FAM27E3,
PLSCR3,
SNORD75,
GP1BA,
LTBP1,
PRR16,
TRIP6,
RASGRP3,
SPINT1,
TTC12,
VWF,
USP21,
MRPL43,
CTSF,
ANXA3,
FAM133A,
MT1B,
RAB34,
PCNXL2,
CAPN12,